IPL Ball-by-Ball 2008-2020[id],IPL Ball-by-Ball 2008-2020[inning],IPL Ball-by-Ball 2008-2020[over],IPL Ball-by-Ball 2008-2020[ball],IPL Ball-by-Ball 2008-2020[batsman],IPL Ball-by-Ball 2008-2020[non_striker],IPL Ball-by-Ball 2008-2020[bowler],IPL Ball-by-Ball 2008-2020[batsman_runs],IPL Ball-by-Ball 2008-2020[extra_runs],IPL Ball-by-Ball 2008-2020[total_runs],IPL Ball-by-Ball 2008-2020[non_boundary],IPL Ball-by-Ball 2008-2020[is_wicket],IPL Ball-by-Ball 2008-2020[dismissal_kind],IPL Ball-by-Ball 2008-2020[player_dismissed],IPL Ball-by-Ball 2008-2020[fielder],IPL Ball-by-Ball 2008-2020[extras_type],IPL Ball-by-Ball 2008-2020[batting_team],IPL Ball-by-Ball 2008-2020[bowling_team]
501221,1,7,1,RG Sharma,AT Rayudu,Joginder Sharma,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Chennai Super Kings
501221,1,8,1,RG Sharma,AT Rayudu,R Ashwin,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Chennai Super Kings
501221,1,13,1,RG Sharma,A Symonds,SK Raina,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Chennai Super Kings
501221,1,16,1,RG Sharma,A Symonds,R Ashwin,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Chennai Super Kings
501224,1,17,1,RG Sharma,A Symonds,I Sharma,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Deccan Chargers
501231,1,9,1,RG Sharma,A Symonds,SK Warne,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Rajasthan Royals
501237,1,17,1,RG Sharma,KA Pollard,PP Chawla,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kings XI Punjab
501241,1,11,1,RG Sharma,TL Suman,JD Ryder,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Pune Warriors
501246,1,10,1,RG Sharma,AT Rayudu,S Nadeem,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Delhi Daredevils
501246,1,12,1,RG Sharma,AT Rayudu,M Morkel,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Delhi Daredevils
501263,1,14,1,RG Sharma,KA Pollard,J Botha,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Rajasthan Royals
501263,1,15,1,RG Sharma,KA Pollard,SK Warne,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Rajasthan Royals
501263,1,16,1,RG Sharma,KA Pollard,AL Menaria,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Rajasthan Royals
501263,1,18,1,RG Sharma,JEC Franklin,J Botha,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Rajasthan Royals
501263,1,19,1,RG Sharma,JEC Franklin,SK Warne,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Rajasthan Royals
501263,1,10,1,RG Sharma,SR Tendulkar,SK Warne,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Rajasthan Royals
548325,1,2,1,RG Sharma,RE Levi,IK Pathan,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Delhi Daredevils
548351,1,8,1,RG Sharma,SR Tendulkar,MJ Clarke,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Pune Warriors
548363,1,6,1,RG Sharma,HH Gibbs,JH Kallis,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kolkata Knight Riders
548363,1,18,1,RG Sharma,HH Gibbs,B Lee,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kolkata Knight Riders
548363,1,11,1,RG Sharma,HH Gibbs,R Bhatia,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kolkata Knight Riders
548363,1,15,1,RG Sharma,HH Gibbs,SP Narine,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kolkata Knight Riders
598006,1,9,1,RG Sharma,KD Karthik,S Nadeem,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Delhi Daredevils
598006,1,8,1,RG Sharma,KD Karthik,UT Yadav,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Delhi Daredevils
598006,1,10,1,RG Sharma,KD Karthik,BMAJ Mendis,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Delhi Daredevils
598006,1,11,1,RG Sharma,KD Karthik,S Nadeem,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Delhi Daredevils
598006,1,13,1,RG Sharma,KD Karthik,IK Pathan,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Delhi Daredevils
598006,1,18,1,RG Sharma,AT Rayudu,IK Pathan,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Delhi Daredevils
598011,1,9,1,RG Sharma,KD Karthik,B Kumar,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Pune Warriors
598011,1,13,1,RG Sharma,KD Karthik,AD Mathews,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Pune Warriors
598024,1,18,1,RG Sharma,KA Pollard,UT Yadav,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Delhi Daredevils
598024,1,6,1,RG Sharma,SR Tendulkar,AB Agarkar,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Delhi Daredevils
598024,1,7,1,RG Sharma,SR Tendulkar,S Nadeem,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Delhi Daredevils
598033,1,11,1,RG Sharma,KD Karthik,R Rampaul,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
598037,1,13,1,RG Sharma,KA Pollard,DJ Hussey,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kings XI Punjab
598037,1,14,1,RG Sharma,KA Pollard,P Awana,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kings XI Punjab
598039,1,10,1,RG Sharma,DR Smith,A Mishra,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Sunrisers Hyderabad
598039,1,11,1,RG Sharma,DR Smith,KV Sharma,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Sunrisers Hyderabad
598046,1,12,1,RG Sharma,AT Rayudu,B Laughlin,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Chennai Super Kings
598046,1,13,1,RG Sharma,AT Rayudu,R Ashwin,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Chennai Super Kings
598046,1,16,1,RG Sharma,Harbhajan Singh,DJ Bravo,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Chennai Super Kings
598063,1,12,1,RG Sharma,AP Tare,KK Cooper,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Rajasthan Royals
598073,1,2,1,RG Sharma,KD Karthik,MM Sharma,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Chennai Super Kings
729303,1,12,1,RG Sharma,CJ Anderson,SK Raina,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Chennai Super Kings
729303,1,15,1,RG Sharma,CJ Anderson,MM Sharma,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Chennai Super Kings
729309,1,0,1,RG Sharma,AP Tare,S Nadeem,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Delhi Daredevils
733983,1,9,1,RG Sharma,CJ Anderson,YS Chahal,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
733983,1,12,1,RG Sharma,KA Pollard,HV Patel,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
733983,1,15,1,RG Sharma,KA Pollard,HV Patel,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
733983,1,17,1,RG Sharma,KA Pollard,AB Dinda,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
733995,1,15,1,RG Sharma,AT Rayudu,RA Jadeja,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Chennai Super Kings
733995,1,12,1,RG Sharma,AT Rayudu,S Badree,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Chennai Super Kings
734009,1,16,1,RG Sharma,KA Pollard,Shakib Al Hasan,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kolkata Knight Riders
734017,1,18,1,RG Sharma,KA Pollard,DS Kulkarni,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Rajasthan Royals
734031,1,9,1,RG Sharma,MEK Hussey,Imran Tahir,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Delhi Daredevils
734031,1,11,1,RG Sharma,MEK Hussey,S Nadeem,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Delhi Daredevils
734045,1,15,1,RG Sharma,LMP Simmons,A Nehra,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Chennai Super Kings
734045,1,16,1,RG Sharma,LMP Simmons,RA Jadeja,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Chennai Super Kings
829705,1,7,1,RG Sharma,CJ Anderson,M Morkel,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kolkata Knight Riders
829705,1,11,1,RG Sharma,CJ Anderson,AD Russell,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kolkata Knight Riders
829705,1,13,1,RG Sharma,CJ Anderson,SP Narine,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kolkata Knight Riders
829705,1,16,1,RG Sharma,CJ Anderson,SP Narine,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kolkata Knight Riders
829729,1,10,1,RG Sharma,KA Pollard,RA Jadeja,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Chennai Super Kings
829729,1,12,1,RG Sharma,KA Pollard,DJ Bravo,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Chennai Super Kings
829751,1,13,1,RG Sharma,KA Pollard,KV Sharma,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Sunrisers Hyderabad
829751,1,9,1,RG Sharma,LMP Simmons,KV Sharma,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Sunrisers Hyderabad
829769,1,13,1,RG Sharma,AT Rayudu,STR Binny,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Rajasthan Royals
829775,1,13,1,RG Sharma,LMP Simmons,MG Johnson,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kings XI Punjab
829775,1,15,1,RG Sharma,LMP Simmons,AR Patel,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kings XI Punjab
829805,1,5,1,RG Sharma,LMP Simmons,M Morkel,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kolkata Knight Riders
829805,1,6,1,RG Sharma,AT Rayudu,Shakib Al Hasan,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kolkata Knight Riders
829805,1,9,1,RG Sharma,KA Pollard,SP Narine,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kolkata Knight Riders
829805,1,11,1,RG Sharma,KA Pollard,SP Narine,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kolkata Knight Riders
829817,1,12,1,RG Sharma,LMP Simmons,P Negi,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Chennai Super Kings
829817,1,13,1,RG Sharma,LMP Simmons,RA Jadeja,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Chennai Super Kings
829823,1,6,1,RG Sharma,LMP Simmons,P Negi,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Chennai Super Kings
980923,1,5,1,RG Sharma,AT Rayudu,Mustafizur Rahman,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Sunrisers Hyderabad
980985,1,3,1,RG Sharma,N Rana,AR Patel,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kings XI Punjab
980985,1,6,1,RG Sharma,N Rana,MP Stoinis,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kings XI Punjab
980985,1,7,1,RG Sharma,N Rana,KC Cariappa,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kings XI Punjab
980985,1,8,1,RG Sharma,N Rana,AR Patel,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kings XI Punjab
980993,1,1,1,RG Sharma,MJ Guptill,CH Morris,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Delhi Daredevils
980993,1,3,1,RG Sharma,MJ Guptill,CH Morris,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Delhi Daredevils
980993,1,5,1,RG Sharma,MJ Guptill,S Nadeem,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Delhi Daredevils
981007,1,3,1,RG Sharma,MJ Guptill,DS Kulkarni,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Gujarat Lions
1082592,1,5,1,RG Sharma,JC Buttler,DL Chahar,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Rising Pune Supergiant
1082614,1,6,1,RG Sharma,N Rana,A Mishra,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Delhi Daredevils
1082638,1,10,1,RG Sharma,HH Pandya,Rashid Khan,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Sunrisers Hyderabad
1082638,1,14,1,RG Sharma,HH Pandya,Rashid Khan,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Sunrisers Hyderabad
1136569,1,13,1,RG Sharma,Ishan Kishan,DT Christian,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Delhi Daredevils
1136574,1,6,1,RG Sharma,E Lewis,Mohammed Siraj,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1136574,1,8,1,RG Sharma,E Lewis,YS Chahal,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1136601,1,6,1,RG Sharma,SA Yadav,SP Narine,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kolkata Knight Riders
1136601,1,12,1,RG Sharma,Ishan Kishan,M Prasidh Krishna,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kolkata Knight Riders
1136601,1,14,1,RG Sharma,Ishan Kishan,SP Narine,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kolkata Knight Riders
1136601,1,16,1,RG Sharma,HH Pandya,SP Narine,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kolkata Knight Riders
1175362,1,7,1,RG Sharma,SA Yadav,C de Grandhomme,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1175364,1,0,1,RG Sharma,Q de Kock,R Ashwin,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kings XI Punjab
1175370,1,2,1,RG Sharma,Q de Kock,DL Chahar,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Chennai Super Kings
1175370,1,6,1,RG Sharma,SA Yadav,Imran Tahir,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Chennai Super Kings
